date,A1,A2,A3,A4,A5,A6,A7,A8,label
2021-02-01 17:30:00,98089.0,32777.0,240775.0,243513.0,38884.0,1850112,861848,525051,0
2021-02-01 17:40:00,95469.0,27805.0,236014.0,236820.0,37249.0,1804220,841679,512870,0
2021-02-01 17:50:00,94657.0,27119.0,235958.0,236127.0,37038.0,1817211,848536,503464,0
2021-02-01 18:00:00,91216.0,29469.0,227525.0,228108.0,36322.0,1953188,932344,516488,0
2021-02-01 18:10:00,84441.0,26808.0,210583.0,211784.0,33178.0,1883013,899012,498313,0
2021-02-01 18:20:00,78577.0,25256.0,197490.0,198558.0,30947.0,1813487,855120,471864,0
2021-02-01 18:30:00,74343.0,24860.0,186911.0,188277.0,29102.0,1771145,826743,447411,0
2021-02-01 18:40:00,70002.0,23792.0,176522.0,177738.0,27269.0,1713743,789301,427678,0
2021-02-01 18:50:00,67236.0,23238.0,168828.0,169744.0,25996.0,1665066,752711,413498,0
2021-02-01 19:00:00,66941.0,23915.0,170226.0,170202.0,26118.0,1636616,725329,411026,0
2021-02-01 19:10:00,62862.0,22598.0,160104.0,159825.0,23921.0,1589852,686712,391012,0
2021-02-01 19:20:00,60921.0,22134.0,157066.0,157586.0,22924.0,1541496,649863,374127,0
2021-02-01 19:30:00,59842.0,22486.0,154045.0,154739.0,22234.0,1517895,628259,364901,0
2021-02-01 19:40:00,57945.0,22133.0,147313.0,147526.0,21703.0,1492554,606755,354522,0
2021-02-01 19:50:00,55483.0,22025.0,142538.0,143477.0,20945.0,1462658,589011,331397,0
2021-02-01 20:00:00,54491.0,21963.0,141155.0,141565.0,20132.0,1456173,580774,322527,0
2021-02-01 20:10:00,51598.0,21172.0,135648.0,136361.0,18736.0,1420736,553056,305998,0
2021-02-01 20:20:00,51686.0,21018.0,133243.0,134302.0,18114.0,1404892,537158,300913,0
2021-02-01 20:30:00,52087.0,21374.0,137569.0,137906.0,18622.0,1416183,545131,304780,0
2021-02-01 20:40:00,49485.0,21320.0,132046.0,132224.0,17067.0,1398581,532889,288000,0
2021-02-01 20:50:00,49760.0,21846.0,133596.0,134550.0,16889.0,1425636,550194,284526,0
2021-02-01 21:00:00,50604.0,25140.0,135185.0,135825.0,17385.0,1489706,601522,299652,0
2021-02-01 21:10:00,49512.0,24272.0,134218.0,135193.0,16588.0,1444923,571407,285076,0
2021-02-01 21:20:00,48425.0,23407.0,129836.0,130328.0,15678.0,1392808,532291,270097,0
2021-02-01 21:30:00,45814.0,22252.0,126319.0,125376.0,14810.0,1343905,495960,257848,0
