date,B1,B2,B3,B4,B5,B6,B7,B8,label
2021-02-01 15:10:00,82868.0,18168.0,286537.0,289330.0,45492.0,1697611,646960,581764,0
2021-02-01 15:20:00,81353.0,18099.0,283895.0,286270.0,44633.0,1691523,649889,574241,0
2021-02-01 15:30:00,84399.0,17887.0,289365.0,292481.0,45515.0,1729713,667673,584543,0
2021-02-01 15:40:00,82635.0,17643.0,287870.0,289637.0,45267.0,1730009,661555,578731,0
2021-02-01 15:50:00,82210.0,17709.0,277124.0,280071.0,44474.0,1729419,674818,576836,0
2021-02-01 16:00:00,83997.0,18292.0,284517.0,285946.0,45305.0,1749695,696122,587668,0
2021-02-01 16:10:00,83793.0,18062.0,284084.0,286640.0,45160.0,1733615,682894,578794,0
2021-02-01 16:20:00,81344.0,17766.0,278349.0,280041.0,44300.0,1719747,677631,575976,0
2021-02-01 16:30:00,82282.0,18564.0,278770.0,281318.0,44683.0,1732715,688408,578522,0
2021-02-01 16:40:00,81719.0,17944.0,278625.0,281022.0,43739.0,1751044,686669,575014,0
2021-02-01 16:50:00,82329.0,18684.0,280016.0,281122.0,44019.0,1769140,701264,579767,0
2021-02-01 17:00:00,84269.0,19016.0,287124.0,288607.0,45519.0,1817747,747420,609692,0
2021-02-01 17:10:00,81203.0,18689.0,278019.0,281026.0,43774.0,1788507,733053,593353,0
2021-02-01 17:20:00,79774.0,19012.0,273064.0,276377.0,42916.0,1780302,728754,581250,0
2021-02-01 17:30:00,79987.0,24457.0,274161.0,276340.0,42366.0,1824871,759479,587449,0
2021-02-01 17:40:00,79188.0,20383.0,273050.0,274669.0,41159.0,1797787,744903,572078,0
2021-02-01 17:50:00,75383.0,20204.0,262080.0,265101.0,39830.0,1826655,755455,565348,0
2021-02-01 18:00:00,74063.0,21278.0,255539.0,257521.0,39419.0,1923674,819244,580041,0
2021-02-01 18:10:00,68596.0,18981.0,238985.0,241373.0,36344.0,1829692,779406,555472,0
2021-02-01 18:20:00,64274.0,18643.0,224926.0,226283.0,33825.0,1784714,748428,524758,0
2021-02-01 18:30:00,60696.0,17843.0,212602.0,214751.0,31562.0,1754385,729164,500491,0
2021-02-01 18:40:00,58616.0,17325.0,206775.0,208297.0,30437.0,1712360,700894,480411,0
2021-02-01 18:50:00,56697.0,17035.0,200686.0,202694.0,29216.0,1695359,676581,465391,0
2021-02-01 19:00:00,56382.0,17104.0,199244.0,200785.0,28580.0,1698038,666578,466675,0
2021-02-01 19:10:00,52376.0,16505.0,186985.0,188326.0,26497.0,1644141,633619,438587,0
2021-02-01 19:20:00,50679.0,16262.0,179831.0,181538.0,25548.0,1603446,610529,417904,0
2021-02-01 19:30:00,50325.0,15838.0,181757.0,181086.0,24728.0,1584290,591419,404140,0
2021-02-01 19:40:00,48968.0,15684.0,173979.0,175211.0,24090.0,1563308,570698,394679,0
2021-02-01 19:50:00,47285.0,15804.0,169721.0,171425.0,23176.0,1545217,558445,372529,0
2021-02-01 20:00:00,47549.0,15656.0,172898.0,174582.0,22543.0,1564431,554689,363446,0
