date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,label
2020-10-23 05:21:08,5623743.5,8.125,218.833328,379.333344,62.083332,16686,59.854076,37044,218.5,378.25,59.5625,11719,5645,0.898438,7.910156,40.625,219,379.75,60.5625,12075,5476,0.910156,7.324219,41.601563,219.25,380,65.90625,13261,5545,0.921875,7.714844,36.132813,0
2020-10-23 05:22:08,5624363,7.5,219.083328,379.666656,61.833332,16494,59.910137,37052,218.75,378.5,59.75,11737,5589,0.902344,7.8125,40.429688,219,380,60.375,12089,5421,0.910156,7.226563,41.601563,219.5,380.5,65.375,13226,5484,0.921875,7.519531,35.64453,0
2020-10-23 05:23:08,5624982.5,8.125,219,379.416656,62.072918,16577,59.900765,37090,218.75,378.5,59.8125,11715,5598,0.898438,7.910156,40.429688,219,379.75,60.9375,12136,5438,0.910156,7.421875,41.601563,219.25,380,65.46875,13239,5541,0.921875,7.617188,36.035156,0
2020-10-23 05:24:08,5625602,7.5,218.833328,379.416656,61.989582,16650,59.85407,37141,218.25,378.25,59.71875,11746,5651,0.898438,7.8125,40.625,219,379.75,60.5,12085,5449,0.910156,7.324219,41.796875,219.25,380.25,65.75,13310,5550,0.921875,7.519531,35.742188,0
2020-10-23 05:25:08,5626221.5,8.125,218.833328,379,62.177082,16524,59.882076,37146,218.25,377.5,59.71875,11800,5601,0.902344,7.8125,40.429688,219,379.5,60.90625,12081,5429,0.910156,7.421875,41.69922,219.25,380,65.90625,13265,5494,0.921875,7.617188,35.742188,0
2020-10-23 05:26:08,5626841,7.5,219,379.25,62.270832,16805,59.910122,37122,218.75,378.25,60.25,11800,5719,0.898438,7.910156,40.429688,218.75,379.5,60.75,12059,5499,0.90625,7.324219,41.89453,219.5,380,65.8125,13263,5587,0.917969,7.617188,35.839844,0
2020-10-23 05:27:08,5627460.5,7.5,220.166672,381.416656,61.75,16538,59.900765,37166,219.75,380.25,59.5625,11781,5604,0.902344,7.8125,40.33203,220,381.75,60.1875,12084,5435,0.910156,7.324219,41.796875,220.75,382.25,65.5,13301,5499,0.921875,7.617188,35.44922,0
2020-10-23 05:28:08,5628080,8.125,220.333328,381.833344,61.760418,16579,59.919464,37182,220,380.75,59.375,11824,5630,0.902344,7.910156,39.941406,220.25,382.25,60.4375,12049,5459,0.910156,7.421875,41.503906,220.75,382.5,65.46875,13309,5490,0.921875,7.714844,35.15625,0
2020-10-23 05:29:08,5628699.5,7.5,221.083328,382.916656,61.4375,16318,59.910175,37185,220.75,381.75,58.65625,11774,5518,0.902344,8.007813,39.746094,221,383.25,60.3125,12124,5364,0.914063,7.324219,41.015625,221.5,383.75,65.34375,13287,5436,0.921875,7.617188,34.960938,0
2020-10-23 05:30:08,5629319,7.5,220.416672,381.666656,61.791668,16355,59.863403,37186,220,380.5,59.46875,11802,5566,0.902344,7.910156,39.648438,220.25,382,60.5,12075,5349,0.914063,7.519531,41.015625,221,382.5,65.40625,13309,5440,0.921875,7.714844,35.058594,0
2020-10-23 05:31:08,5629938.5,8.125,220.416672,381.666656,61.604168,16440,59.863403,37189,219.75,380,59.40625,11824,5623,0.902344,7.910156,40.429688,220.25,382.25,60.03125,12035,5392,0.910156,7.324219,41.40625,221.25,382.75,65.375,13330,5425,0.925781,7.519531,35.546875,0
2020-10-23 05:32:08,5630558,8.125,220.25,381.5,61.708332,16449,59.872757,37173,219.75,380.25,59.46875,11833,5604,0.902344,7.910156,40.429688,220.25,382,60.1875,12058,5400,0.910156,7.324219,41.503906,220.75,382.25,65.46875,13282,5445,0.921875,7.617188,35.546875,0
2020-10-23 05:33:08,5631177.5,8.125,219.75,380.75,61.9375,16554,59.854076,37199,219.25,379.25,60,11854,5671,0.898438,8.007813,40.33203,219.5,381.25,60.3125,12014,5410,0.910156,7.324219,41.601563,220.5,381.75,65.5,13331,5473,0.921875,7.519531,35.351563,0
